variable,track_popularity,num_playlists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year
track_popularity,1.0,0.292,0.046,-0.104,0.036,0.006,0.093,-0.124,-0.052,0.023,0.004,-0.143,0.045
num_playlists,0.292,1.0,0.028,0.006,0.069,-0.012,-0.019,-0.069,-0.009,0.015,-0.003,-0.028,-0.001
danceability,0.046,0.028,1.0,-0.083,0.012,0.184,-0.027,-0.003,-0.127,0.334,-0.185,-0.09,0.144
energy,-0.104,0.006,-0.083,1.0,0.682,-0.029,-0.546,0.025,0.164,0.149,0.151,0.015,0.05
loudness,0.036,0.069,0.012,0.682,1.0,0.014,-0.37,-0.154,0.082,0.049,0.096,-0.111,0.286
speechiness,0.006,-0.012,0.184,-0.029,0.014,1.0,0.023,-0.109,0.059,0.064,0.033,-0.098,0.106
acousticness,0.093,-0.019,-0.027,-0.546,-0.37,0.023,1.0,-0.005,-0.076,-0.019,-0.114,-0.091,0.008
instrumentalness,-0.124,-0.069,-0.003,0.025,-0.154,-0.109,-0.005,1.0,-0.008,-0.175,0.022,0.065,0.098
liveness,-0.052,-0.009,-0.127,0.164,0.082,0.059,-0.076,-0.008,1.0,-0.02,0.022,0.009,-0.018
valence,0.023,0.015,0.334,0.149,0.049,0.064,-0.019,-0.175,-0.02,1.0,-0.025,-0.034,-0.225
tempo,0.004,-0.003,-0.185,0.151,0.096,0.033,-0.114,0.022,0.022,-0.025,1.0,-0.002,0.025
duration_ms,-0.143,-0.028,-0.09,0.015,-0.111,-0.098,-0.091,0.065,0.009,-0.034,-0.002,1.0,-0.313
release_year,0.045,-0.001,0.144,0.05,0.286,0.106,0.008,0.098,-0.018,-0.225,0.025,-0.313,1.0
