clase,li,ls,fi,xi,fi_xi,Fi,hi_%,Hi_%
[0.077 - 0.134),0.0771,0.13371875,6,0.105409375,0.6324562499999999,6,0.021,0.021
[0.134 - 0.190),0.13371875,0.1903375,50,0.162028125,8.10140625,56,0.177,0.198
[0.190 - 0.247),0.1903375,0.24695625,138,0.218646875,30.17326875,194,0.487,0.685
[0.247 - 0.304),0.24695625,0.303575,296,0.27526562499999996,81.478625,490,1.045,1.73
[0.304 - 0.360),0.303575,0.36019375,549,0.331884375,182.204521875,1039,1.938,3.668
[0.360 - 0.417),0.36019375,0.4168125,904,0.38850312499999995,351.206825,1943,3.191,6.859
[0.417 - 0.473),0.4168125,0.47343124999999997,1472,0.445121875,655.2194,3415,5.196,12.056
[0.473 - 0.530),0.47343124999999997,0.5300499999999999,2122,0.5017406249999999,1064.69360625,5537,7.491,19.547
[0.530 - 0.587),0.5300499999999999,0.5866687499999999,2971,0.5583593749999999,1658.8857031249997,8508,10.488,30.035
[0.587 - 0.643),0.5866687499999999,0.6432875,3716,0.6149781249999999,2285.2587124999995,12224,13.118,43.153
[0.643 - 0.700),0.6432875,0.69990625,4324,0.671596875,2903.9848875,16548,15.265,58.418
[0.700 - 0.757),0.69990625,0.7565249999999999,4468,0.7282156249999999,3253.6674124999995,21016,15.773,74.191
[0.757 - 0.813),0.7565249999999999,0.8131437499999998,3662,0.7848343749999999,2874.0634812499993,24678,12.928,87.118
[0.813 - 0.870),0.8131437499999998,0.8697625,2287,0.8414531249999999,1924.4032968749998,26965,8.074,95.192
[0.870 - 0.926),0.8697625,0.9263812499999999,1075,0.898071875,965.4272656249999,28040,3.795,98.987
[0.926 - 0.983],0.9263812499999999,0.983,287,0.954690625,273.996209375,28327,1.013,100.0
