clase,li,ls,fi,xi,fi_xi,Fi,hi_%,Hi_%
[60447.000 - 89032.188),60447.0,89032.1875,106,74739.59375,7922396.9375,106,0.374,0.374
[89032.188 - 117617.375),89032.1875,117617.375,259,103324.78125,26761118.34375,365,0.914,1.289
[117617.375 - 146202.562),117617.375,146202.5625,987,131909.96875,130195139.15625,1352,3.484,4.773
[146202.562 - 174787.750),146202.5625,174787.75,3218,160495.15625,516473412.8125,4570,11.36,16.133
[174787.750 - 203372.938),174787.75,203372.9375,6208,189080.34375,1173810774.0,10778,21.915,38.049
[203372.938 - 231958.125),203372.9375,231958.125,6632,217665.53125,1443557803.25,17410,23.412,61.461
[231958.125 - 260543.312),231958.125,260543.3125,4538,246250.71875,1117485761.6875,21948,16.02,77.481
[260543.312 - 289128.500),260543.3125,289128.5,2695,274835.90625,740682767.34375,24643,9.514,86.995
[289128.500 - 317713.688),289128.5,317713.6875,1563,303421.09375,474247169.53125,26206,5.518,92.512
[317713.688 - 346298.875),317713.6875,346298.875,822,332006.28125,272909163.1875,27028,2.902,95.414
[346298.875 - 374884.062),346298.875,374884.0625,511,360591.46875,184262240.53125,27539,1.804,97.218
[374884.062 - 403469.250),374884.0625,403469.25,298,389176.65625,115974643.5625,27837,1.052,98.27
[403469.250 - 432054.438),403469.25,432054.4375,186,417761.84375,77703702.9375,28023,0.657,98.927
[432054.438 - 460639.625),432054.4375,460639.625,128,446347.03125,57132420.0,28151,0.452,99.379
[460639.625 - 489224.812),460639.625,489224.8125,95,474932.21875,45118560.78125,28246,0.335,99.714
[489224.812 - 517810.000],489224.8125,517810.0,81,503517.40625,40784909.90625,28327,0.286,100.0
