clase,li,ls,fi,xi,fi_xi,Fi,hi_%,Hi_%
[0.000 - 0.063),0.000175,0.06266406249999999,22,0.031419531249999993,0.6912296874999999,22,0.078,0.078
[0.063 - 0.125),0.06266406249999999,0.125153125,73,0.09390859374999999,6.855327343749999,95,0.258,0.335
[0.125 - 0.188),0.125153125,0.1876421875,142,0.15639765625000002,22.208467187500002,237,0.501,0.837
[0.188 - 0.250),0.1876421875,0.25013124999999997,248,0.21888671875,54.283906249999994,485,0.875,1.712
[0.250 - 0.313),0.25013124999999997,0.31262031249999994,426,0.28137578124999996,119.86608281249998,911,1.504,3.216
[0.313 - 0.375),0.31262031249999994,0.37510937499999997,693,0.3438648437499999,238.29833671874994,1604,2.446,5.662
[0.375 - 0.438),0.37510937499999997,0.4375984375,1117,0.40635390625,453.89731328125004,2721,3.943,9.606
[0.438 - 0.500),0.4375984375,0.5000875,1614,0.46884296875,756.7125515624999,4335,5.698,15.303
[0.500 - 0.563),0.5000875,0.5625765625,2098,0.5313320312500001,1114.7346015625,6433,7.406,22.71
[0.563 - 0.625),0.5625765625,0.625065625,2566,0.5938210937499999,1523.7449265624998,8999,9.058,31.768
[0.625 - 0.688),0.625065625,0.6875546875,3162,0.65631015625,2075.2527140625,12161,11.162,42.931
[0.688 - 0.750),0.6875546875,0.75004375,3653,0.7187992187500001,2625.77354609375,15814,12.896,55.827
[0.750 - 0.813),0.75004375,0.8125328125,3578,0.7812882812499999,2795.4494703124997,19392,12.631,68.458
[0.813 - 0.875),0.8125328125,0.8750218750000001,3742,0.84377734375,3157.4148203125,23134,13.21,81.668
[0.875 - 0.938),0.8750218750000001,0.9375109375,3185,0.9062664062500001,2886.4585039062504,26319,11.244,92.911
[0.938 - 1.000],0.9375109375,1.0,2008,0.96875546875,1945.26098125,28327,7.089,100.0
