clase,li,ls,fi,xi,fi_xi,Fi,hi_%,Hi_%
[-46.448 - -43.465),-46.448,-43.4653125,1,-44.95665625,-44.95665625,1,0.004,0.004
[-43.465 - -40.483),-43.4653125,-40.482625,0,-41.97396875,-0.0,1,0.0,0.004
[-40.483 - -37.500),-40.482625,-37.4999375,0,-38.99128125,-0.0,1,0.0,0.004
[-37.500 - -34.517),-37.4999375,-34.517250000000004,3,-36.00859375,-108.02578125000001,4,0.011,0.014
[-34.517 - -31.535),-34.517250000000004,-31.5345625,0,-33.025906250000006,-0.0,4,0.0,0.014
[-31.535 - -28.552),-31.5345625,-28.551875000000003,1,-30.04321875,-30.04321875,5,0.004,0.018
[-28.552 - -25.569),-28.551875000000003,-25.5691875,3,-27.060531250000004,-81.18159375000002,8,0.011,0.028
[-25.569 - -22.587),-25.5691875,-22.5865,17,-24.07784375,-409.32334375,25,0.06,0.088
[-22.587 - -19.604),-22.5865,-19.6038125,44,-21.095156250000002,-928.1868750000001,69,0.155,0.244
[-19.604 - -16.621),-19.6038125,-16.621125,161,-18.112468749999998,-2916.1074687499995,230,0.568,0.812
[-16.621 - -13.638),-16.621125,-13.638437500000002,624,-15.12978125,-9440.9835,854,2.203,3.015
[-13.638 - -10.656),-13.638437500000002,-10.655750000000005,2182,-12.147093750000003,-26504.958562500007,3036,7.703,10.718
[-10.656 - -7.673),-10.655750000000005,-7.6730625,5801,-9.164406250000003,-53162.720656250014,8837,20.479,31.196
[-7.673 - -4.690),-7.6730625,-4.690375000000003,12473,-6.181718750000002,-77104.57796875002,21310,44.032,75.229
[-4.690 - -1.708),-4.690375000000003,-1.7076874999999987,6834,-3.199031250000001,-21862.179562500005,28144,24.125,99.354
[-1.708 - 1.275],-1.7076874999999987,1.275,183,-0.2163437499999994,-39.59090624999989,28327,0.646,100.0
