clase,li,ls,fi,xi,fi_xi,Fi,hi_%,Hi_%
[35.477 - 48.225),35.477,48.224687499999995,4,41.850843749999996,167.40337499999998,4,0.014,0.014
[48.225 - 60.972),48.224687499999995,60.972375,26,54.59853124999999,1419.5618124999999,30,0.092,0.106
[60.972 - 73.720),60.972375,73.7200625,215,67.34621874999999,14479.437031249998,245,0.759,0.865
[73.720 - 86.468),73.7200625,86.46775,2230,80.09390625,178609.4109375,2475,7.872,8.737
[86.468 - 99.215),86.46775,99.2154375,4395,92.84159374999999,408038.8045312499,6870,15.515,24.252
[99.215 - 111.963),99.2154375,111.96312499999999,3940,105.58928125,416021.768125,10810,13.909,38.161
[111.963 - 124.711),111.96312499999999,124.7108125,4733,118.33696875,560088.87309375,15543,16.708,54.87
[124.711 - 137.458),124.7108125,137.4585,6373,131.08465625,835402.51428125,21916,22.498,77.368
[137.458 - 150.206),137.4585,150.2061875,2740,143.83234375,394100.621875,24656,9.673,87.041
[150.206 - 162.954),150.2061875,162.95387499999998,1222,156.58003125,191340.79818749998,25878,4.314,91.355
[162.954 - 175.702),162.95387499999998,175.7015625,1246,169.32771874999997,210982.33756249998,27124,4.399,95.753
[175.702 - 188.449),175.7015625,188.44925,838,182.07540625000001,152579.19043750002,27962,2.958,98.711
[188.449 - 201.197),188.44925,201.1969375,258,194.82309375,50264.3581875,28220,0.911,99.622
[201.197 - 213.945),201.1969375,213.944625,99,207.57078124999998,20549.50734375,28319,0.349,99.972
[213.945 - 226.692),213.944625,226.69231249999999,7,220.31846875,1542.22928125,28326,0.025,99.996
[226.692 - 239.440],226.69231249999999,239.44,1,233.06615625,233.06615625,28327,0.004,100.0
