clase,li,ls,fi,xi,fi_xi,Fi,hi_%,Hi_%
[0.000 - 6.250),0.0,6.25,4455,3.125,13921.875,4455,15.727,15.727
[6.250 - 12.500),6.25,12.5,993,9.375,9309.375,5448,3.505,19.233
[12.500 - 18.750),12.5,18.75,1146,15.625,17906.25,6594,4.046,23.278
[18.750 - 25.000),18.75,25.0,1223,21.875,26753.125,7817,4.317,27.596
[25.000 - 31.250),25.0,31.25,1912,28.125,53775.0,9729,6.75,34.345
[31.250 - 37.500),31.25,37.5,2319,34.375,79715.625,12048,8.187,42.532
[37.500 - 43.750),37.5,43.75,2614,40.625,106193.75,14662,9.228,51.76
[43.750 - 50.000),43.75,50.0,2687,46.875,125953.125,17349,9.486,61.245
[50.000 - 56.250),50.0,56.25,3231,53.125,171646.875,20580,11.406,72.652
[56.250 - 62.500),56.25,62.5,2597,59.375,154196.875,23177,9.168,81.819
[62.500 - 68.750),62.5,68.75,2178,65.625,142931.25,25355,7.689,89.508
[68.750 - 75.000),68.75,75.0,1627,71.875,116940.625,26982,5.744,95.252
[75.000 - 81.250),75.0,81.25,997,78.125,77890.625,27979,3.52,98.771
[81.250 - 87.500),81.25,87.5,256,84.375,21600.0,28235,0.904,99.675
[87.500 - 93.750),87.5,93.75,74,90.625,6706.25,28309,0.261,99.936
[93.750 - 100.000],93.75,100.0,18,96.875,1743.75,28327,0.064,100.0
