clase,li,ls,fi,xi,fi_xi,Fi,hi_%,Hi_%
[0.000 - 0.062),1e-05,0.061946875000000005,394,0.030978437500000004,12.205504375000002,394,1.391,1.391
[0.062 - 0.124),0.061946875000000005,0.12388375,910,0.0929153125,84.552934375,1304,3.212,4.603
[0.124 - 0.186),0.12388375,0.18582062500000002,1401,0.15485218750000002,216.94791468750003,2705,4.946,9.549
[0.186 - 0.248),0.18582062500000002,0.24775750000000002,1828,0.21678906250000002,396.29040625000005,4533,6.453,16.002
[0.248 - 0.310),0.24775750000000002,0.309694375,1911,0.2787259375,532.6452665625001,6444,6.746,22.749
[0.310 - 0.372),0.309694375,0.37163125,2335,0.3406628125,795.4476671875001,8779,8.243,30.992
[0.372 - 0.434),0.37163125,0.433568125,2357,0.4025996875,948.9274634375,11136,8.321,39.312
[0.434 - 0.496),0.433568125,0.49550500000000003,2311,0.4645365625,1073.5439959375,13447,8.158,47.471
[0.496 - 0.557),0.49550500000000003,0.557441875,2626,0.5264734375,1382.519246875,16073,9.27,56.741
[0.557 - 0.619),0.557441875,0.61937875,2424,0.5884103125,1426.3065975,18497,8.557,65.298
[0.619 - 0.681),0.61937875,0.681315625,2255,0.6503471875,1466.5329078124998,20752,7.961,73.259
[0.681 - 0.743),0.681315625,0.7432525,2163,0.7122840625,1540.6704271874999,22915,7.636,80.895
[0.743 - 0.805),0.7432525,0.805189375,1919,0.7742209375,1485.7299790625,24834,6.774,87.669
[0.805 - 0.867),0.805189375,0.86712625,1523,0.8361578125,1273.4683484375,26357,5.376,93.046
[0.867 - 0.929),0.86712625,0.929063125,1235,0.8980946875,1109.1469390625,27592,4.36,97.405
[0.929 - 0.991],0.929063125,0.991,735,0.9600315625,705.6231984375,28327,2.595,100.0
