playlist_genre,playlist_subgenre,conteo,pop_media,energy_media,dance_media
edm,big room,1058,29.908,0.864,0.62
edm,electro house,1316,34.59,0.797,0.709
edm,pop edm,1165,40.31,0.752,0.642
edm,progressive electro house,1614,25.436,0.813,0.651
latin,latin hip hop,1339,36.489,0.735,0.724
latin,latin pop,1015,46.399,0.688,0.679
latin,reggaeton,749,48.514,0.752,0.762
latin,tropical,1172,42.113,0.674,0.695
pop,dance pop,997,47.928,0.752,0.66
pop,electropop,1181,38.46,0.723,0.636
pop,indie poptimism,1537,40.57,0.638,0.627
pop,post-teen pop,877,51.567,0.723,0.63
r&b,hip pop,947,48.646,0.623,0.672
r&b,neo soul,1550,31.227,0.54,0.645
r&b,new jack swing,1072,26.729,0.656,0.725
r&b,urban contemporary,1176,47.054,0.571,0.647
rap,gangster rap,1347,33.3,0.69,0.722
rap,hip hop,1187,52.061,0.561,0.713
rap,southern hip hop,1521,34.341,0.679,0.711
rap,trap,1147,47.996,0.656,0.712
rock,album rock,931,35.46,0.66,0.524
rock,classic rock,1104,39.412,0.693,0.546
rock,hard rock,1312,34.342,0.838,0.485
rock,permanent wave,1013,52.476,0.71,0.528
