variable,conteo,sumatoria,min,max,media,mediana,moda,varianza,desv_est,curtosis,sesgo
track_popularity,28327,1114744.0,0.0,100.0,39.35270236876478,42.0,0.0,561.5655281590649,23.697373866297188,-0.9797257786588731,-0.2325359364273152
num_playlists,28327,32221.0,1.0,8.0,1.1374660218166415,1.0,1.0,0.2360625330454705,0.48586266891527125,34.23259598301017,5.0332051174157
danceability,28327,18510.9003,0.0771,0.983,0.653471963144703,0.67,0.69,0.021220141344811465,0.1456713470275176,0.0069560437660345364,-0.503115375558142
energy,28327,19786.640775,0.000175,1.0,0.6985081644720584,0.722,0.833,0.033606944946599826,0.18332197071436862,-0.016937059216668438,-0.6427166458941113
loudness,28327,-192973.646,-46.448,1.275,-6.812357326931902,-6.259,-5.824,9.13949443264622,3.0231596770012366,4.121677757214535,-1.3114265846557072
speechiness,28327,3056.3797,0.0224,0.918,0.10789634271190031,0.0626,0.103,0.010500848643687955,0.10247364853311292,4.2501189153461105,1.9630134630652212
acousticness,28327,5010.84605948,1.4e-06,0.992,0.17689293110742402,0.0796,0.102,0.0494189962502827,0.22230383768680806,1.7727152388792384,1.5752135638246019
instrumentalness,28327,2570.39793617,0.0,0.994,0.09074021026476506,2.06e-05,0.0,0.05381517097547675,0.231980971149525,5.5360395685561805,2.6322630782284597
liveness,28327,5407.826220000001,0.00936,0.996,0.19090712818159356,0.127,0.111,0.02428352922883138,0.15583173370283532,5.081878439199265,2.081888001487687
valence,28327,14457.749049999999,1e-05,0.991,0.5103875825184453,0.512,0.961,0.05488929518225838,0.2342846456391421,-0.9092335355193373,-0.006930871562621887
tempo,28327,3426435.076,35.477,239.44,120.96004080912203,121.993,127.992,725.7372926974097,26.939511738288978,0.07391283476933985,0.5174898019305855
duration_ms,28327,6422787683.0,60447.0,517810.0,226737.3065626434,216987.0,240000.0,3704076692.236666,60861.12628136836,2.5404030148197285,1.1451881779658852
release_year,28327,56967063.0,1957.0,2020.0,2011.0517527447312,2016.0,2019.0,126.16748324776616,11.23242997965116,2.932147705018394,-1.848073838574245
